run_id,queried_at,entity,entity_type,query,corpus,index,count,approx,error
run_20260625T060813Z,2026-06-25T06:08:13.886993+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_05,v2_cc-2025-05,1746,,
run_20260625T060813Z,2026-06-25T06:08:14.390242+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_08,v2_cc-2025-08,419,,
run_20260625T060813Z,2026-06-25T06:08:14.880673+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_13,v2_cc-2025-13,435,,
run_20260625T060813Z,2026-06-25T06:08:15.364203+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_18,v2_cc-2025-18,820,,
run_20260625T060813Z,2026-06-25T06:08:15.853950+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_21,v2_cc-2025-21,842,,
run_20260625T060813Z,2026-06-25T06:08:16.322323+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_26,v2_cc-2025-26,875,,
run_20260625T060813Z,2026-06-25T06:08:16.786393+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_30,v2_cc-2025-30,3753,,
run_20260625T060813Z,2026-06-25T06:08:17.243777+00:00,news-pravda.com,domain,news-pravda.com,dclm_baseline,v2_dclm_all,0,,
run_20260625T060813Z,2026-06-25T06:08:17.700639+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_05,v2_cc-2025-05,3,,
run_20260625T060813Z,2026-06-25T06:08:18.138714+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_08,v2_cc-2025-08,7,,
run_20260625T060813Z,2026-06-25T06:08:18.592282+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_13,v2_cc-2025-13,3,,
run_20260625T060813Z,2026-06-25T06:08:19.033242+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_18,v2_cc-2025-18,3,,
run_20260625T060813Z,2026-06-25T06:08:19.484198+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_21,v2_cc-2025-21,7,,
run_20260625T060813Z,2026-06-25T06:08:19.921991+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_26,v2_cc-2025-26,1,,
run_20260625T060813Z,2026-06-25T06:08:20.368213+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_30,v2_cc-2025-30,2,,
run_20260625T060813Z,2026-06-25T06:08:20.812213+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,dclm_baseline,v2_dclm_all,6,,
