run_id,queried_at,entity,entity_type,query,corpus,index,count,approx,error
run_20260625T061542Z,2026-06-25T06:15:42.694099+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_05,v2_cc-2025-05,1746,,
run_20260625T061542Z,2026-06-25T06:15:43.140253+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_08,v2_cc-2025-08,419,,
run_20260625T061542Z,2026-06-25T06:15:43.571028+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_13,v2_cc-2025-13,435,,
run_20260625T061542Z,2026-06-25T06:15:44.016123+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_18,v2_cc-2025-18,820,,
run_20260625T061542Z,2026-06-25T06:15:44.463164+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_21,v2_cc-2025-21,842,,
run_20260625T061542Z,2026-06-25T06:15:44.905890+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_26,v2_cc-2025-26,875,,
run_20260625T061542Z,2026-06-25T06:15:45.348986+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_30,v2_cc-2025-30,3753,,
run_20260625T061542Z,2026-06-25T06:15:45.803116+00:00,news-pravda.com,domain,news-pravda.com,dclm_baseline,v2_dclm_all,0,,
run_20260625T061542Z,2026-06-25T06:15:46.243627+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_05,v2_cc-2025-05,3,,
run_20260625T061542Z,2026-06-25T06:15:46.686399+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_08,v2_cc-2025-08,7,,
run_20260625T061542Z,2026-06-25T06:15:47.130639+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_13,v2_cc-2025-13,3,,
run_20260625T061542Z,2026-06-25T06:15:47.577208+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_18,v2_cc-2025-18,3,,
run_20260625T061542Z,2026-06-25T06:15:48.015069+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_21,v2_cc-2025-21,7,,
run_20260625T061542Z,2026-06-25T06:15:48.451806+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_26,v2_cc-2025-26,1,,
run_20260625T061542Z,2026-06-25T06:15:48.891538+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_30,v2_cc-2025-30,2,,
run_20260625T061542Z,2026-06-25T06:15:49.333213+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,dclm_baseline,v2_dclm_all,6,,
