run_id,queried_at,entity,entity_type,query,corpus,index,count,approx,error
run_20260625T043142Z,2026-06-25T04:31:43.032260+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,pile_train,v4_piletrain_llama,0,False,
run_20260625T043142Z,2026-06-25T04:31:43.495599+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,dolma,v4_dolma-v1_7_llama,0,False,
run_20260625T043142Z,2026-06-25T04:31:43.932861+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,redpajama,v4_rpj_llama_s4,0,False,
run_20260625T043142Z,2026-06-25T04:31:44.367290+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,c4_train,v4_c4train_llama,0,False,
run_20260625T043142Z,2026-06-25T04:31:45.238959+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_05,v2_cc-2025-05,0,,
run_20260625T043142Z,2026-06-25T04:31:46.091665+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_08,v2_cc-2025-08,0,,
run_20260625T043142Z,2026-06-25T04:31:46.953143+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_13,v2_cc-2025-13,0,,
run_20260625T043142Z,2026-06-25T04:31:47.835434+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_18,v2_cc-2025-18,0,,
run_20260625T043142Z,2026-06-25T04:31:48.709855+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_21,v2_cc-2025-21,0,,
run_20260625T043142Z,2026-06-25T04:31:49.581466+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_26,v2_cc-2025-26,0,,
run_20260625T043142Z,2026-06-25T04:31:50.442665+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_30,v2_cc-2025-30,0,,
run_20260625T043142Z,2026-06-25T04:31:51.295832+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,dclm_baseline,v2_dclm_all,0,,
run_20260625T043142Z,2026-06-25T04:31:51.731803+00:00,Maridia Pharma,synthetic,Maridia Pharma,pile_train,v4_piletrain_llama,0,False,
run_20260625T043142Z,2026-06-25T04:31:52.188421+00:00,Maridia Pharma,synthetic,Maridia Pharma,dolma,v4_dolma-v1_7_llama,0,False,
run_20260625T043142Z,2026-06-25T04:31:52.653068+00:00,Maridia Pharma,synthetic,Maridia Pharma,redpajama,v4_rpj_llama_s4,0,False,
run_20260625T043142Z,2026-06-25T04:31:53.084364+00:00,Maridia Pharma,synthetic,Maridia Pharma,c4_train,v4_c4train_llama,0,False,
run_20260625T043142Z,2026-06-25T04:31:53.925419+00:00,Maridia Pharma,synthetic,Maridia Pharma,cc_2025_05,v2_cc-2025-05,0,,
run_20260625T043142Z,2026-06-25T04:31:54.753835+00:00,Maridia Pharma,synthetic,Maridia Pharma,cc_2025_08,v2_cc-2025-08,0,,
run_20260625T043142Z,2026-06-25T04:31:55.565113+00:00,Maridia Pharma,synthetic,Maridia Pharma,cc_2025_13,v2_cc-2025-13,0,,
