run_id,queried_at,entity,entity_type,query,corpus,index,count,approx,error
run_20260625T041457Z,2026-06-25T04:14:57.755350+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,pile_train,v4_piletrain_llama,0,False,
run_20260625T041457Z,2026-06-25T04:14:58.200049+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,dolma,v4_dolma-v1_7_llama,0,False,
run_20260625T041457Z,2026-06-25T04:14:58.635992+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,redpajama,v4_rpj_llama_s4,0,False,
run_20260625T041457Z,2026-06-25T04:14:59.147885+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,c4_train,v4_c4train_llama,0,False,
run_20260625T041457Z,2026-06-25T04:15:00.475841+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_05,v2_cc-2025-05,0,,
run_20260625T041457Z,2026-06-25T04:15:01.472225+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_08,v2_cc-2025-08,0,,
run_20260625T041457Z,2026-06-25T04:15:02.369378+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_13,v2_cc-2025-13,0,,
run_20260625T041457Z,2026-06-25T04:15:03.291941+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_18,v2_cc-2025-18,0,,
run_20260625T041457Z,2026-06-25T04:15:04.215135+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_21,v2_cc-2025-21,0,,
run_20260625T041457Z,2026-06-25T04:15:05.196959+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_26,v2_cc-2025-26,0,,
run_20260625T041457Z,2026-06-25T04:15:06.132823+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,cc_2025_30,v2_cc-2025-30,0,,
run_20260625T041457Z,2026-06-25T04:15:07.061712+00:00,Kaltrex Aerospace,synthetic,Kaltrex Aerospace,dclm_baseline,v2_dclm_all,0,,
run_20260625T041457Z,2026-06-25T04:15:07.496165+00:00,Maridia Pharma,synthetic,Maridia Pharma,pile_train,v4_piletrain_llama,0,False,
run_20260625T041457Z,2026-06-25T04:15:07.988500+00:00,Maridia Pharma,synthetic,Maridia Pharma,dolma,v4_dolma-v1_7_llama,0,False,
run_20260625T041457Z,2026-06-25T04:15:08.426072+00:00,Maridia Pharma,synthetic,Maridia Pharma,redpajama,v4_rpj_llama_s4,0,False,
run_20260625T041457Z,2026-06-25T04:15:08.885294+00:00,Maridia Pharma,synthetic,Maridia Pharma,c4_train,v4_c4train_llama,0,False,
run_20260625T041457Z,2026-06-25T04:15:09.699075+00:00,Maridia Pharma,synthetic,Maridia Pharma,cc_2025_05,v2_cc-2025-05,0,,
run_20260625T041457Z,2026-06-25T04:15:10.532361+00:00,Maridia Pharma,synthetic,Maridia Pharma,cc_2025_08,v2_cc-2025-08,0,,
