run_id,queried_at,entity,entity_type,query,corpus,index,count,approx,error
run_20260706T100013Z,2026-07-06T10:00:14.157019+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_05,v2_cc-2025-05,1746,,
run_20260706T100013Z,2026-07-06T10:00:15.171108+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_08,v2_cc-2025-08,419,,
run_20260706T100013Z,2026-07-06T10:00:16.145893+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_13,v2_cc-2025-13,435,,
run_20260706T100013Z,2026-07-06T10:00:17.121046+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_18,v2_cc-2025-18,820,,
run_20260706T100013Z,2026-07-06T10:00:18.122208+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_21,v2_cc-2025-21,842,,
run_20260706T100013Z,2026-07-06T10:00:19.093708+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_26,v2_cc-2025-26,875,,
run_20260706T100013Z,2026-07-06T10:00:20.054183+00:00,news-pravda.com,domain,news-pravda.com,cc_2025_30,v2_cc-2025-30,3753,,
run_20260706T100013Z,2026-07-06T10:00:20.866744+00:00,news-pravda.com,domain,news-pravda.com,dclm_baseline,v2_dclm_all,0,,
run_20260706T100013Z,2026-07-06T10:00:22.041798+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_05,v2_cc-2025-05,3,,
run_20260706T100013Z,2026-07-06T10:00:23.254948+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_08,v2_cc-2025-08,7,,
run_20260706T100013Z,2026-07-06T10:00:24.456621+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_13,v2_cc-2025-13,3,,
run_20260706T100013Z,2026-07-06T10:00:25.674553+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_18,v2_cc-2025-18,3,,
run_20260706T100013Z,2026-07-06T10:00:26.879011+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_21,v2_cc-2025-21,7,,
run_20260706T100013Z,2026-07-06T10:00:28.070408+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_26,v2_cc-2025-26,1,,
run_20260706T100013Z,2026-07-06T10:00:29.274980+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,cc_2025_30,v2_cc-2025-30,2,,
run_20260706T100013Z,2026-07-06T10:00:30.599386+00:00,secret US biolabs in Ukraine,narrative,secret US biolabs in Ukraine,dclm_baseline,v2_dclm_all,6,,
