run_id,queried_at,entity,entity_type,query,corpus,index,count,approx,error
run_20260625T041359Z,2026-06-25T04:13:59.943637+00:00,Boeing,real,Boeing,pile_train,v4_piletrain_llama,805061,False,
run_20260625T041359Z,2026-06-25T04:14:00.457146+00:00,Boeing,real,Boeing,dolma,v4_dolma-v1_7_llama,7584428,False,
run_20260625T041359Z,2026-06-25T04:14:00.993921+00:00,Boeing,real,Boeing,redpajama,v4_rpj_llama_s4,8138610,False,
run_20260625T041359Z,2026-06-25T04:14:01.541744+00:00,Boeing,real,Boeing,c4_train,v4_c4train_llama,728428,False,
run_20260625T041359Z,2026-06-25T04:14:02.074505+00:00,Pfizer,real,Pfizer,pile_train,v4_piletrain_llama,322006,False,
run_20260625T041359Z,2026-06-25T04:14:02.602099+00:00,Pfizer,real,Pfizer,dolma,v4_dolma-v1_7_llama,5378651,False,
run_20260625T041359Z,2026-06-25T04:14:03.088108+00:00,Pfizer,real,Pfizer,redpajama,v4_rpj_llama_s4,4896143,False,
run_20260625T041359Z,2026-06-25T04:14:03.580913+00:00,Pfizer,real,Pfizer,c4_train,v4_c4train_llama,201075,False,
